iter	Passed	Remaining
425	1785	2405
426	1789	2400
427	1792	2395
428	1796	2391
429	1800	2386
430	1803	2381
431	1807	2376
432	1811	2371
433	1814	2367
434	1818	2361
435	1821	2356
436	1825	2351
437	1829	2347
438	1833	2343
439	1837	2338
440	1840	2333
441	1844	2328
442	1848	2323
443	1851	2318
444	1855	2314
445	1859	2309
446	1863	2304
447	1866	2300
448	1870	2294
449	1873	2289
450	1877	2285
451	1881	2280
452	1884	2275
453	1888	2271
454	1892	2266
455	1895	2261
456	1899	2256
457	1903	2252
458	1906	2247
459	1910	2242
460	1913	2237
461	1916	2231
462	1920	2227
463	1923	2222
464	1927	2217
465	1931	2212
466	1934	2207
467	1937	2202
468	1941	2198
469	1946	2194
470	1949	2189
471	1953	2185
472	1957	2181
473	1960	2176
474	1964	2171
475	1968	2167
476	1972	2162
477	1975	2157
478	1978	2152
479	1982	2147
480	1985	2142
481	1989	2138
482	1993	2133
483	1996	2128
484	1999	2123
485	2003	2118
486	2007	2114
487	2010	2109
488	2014	2105
489	2018	2100
490	2021	2095
491	2024	2090
492	2028	2086
493	2032	2082
494	2036	2078
495	2040	2073
496	2044	2068
497	2047	2063
498	2050	2058
499	2053	2053
500	2058	2050
501	2061	2045
502	2065	2040
503	2068	2035
504	2072	2031
505	2075	2026
506	2079	2021
507	2083	2017
508	2086	2013
509	2090	2008
510	2093	2003
511	2097	1998
512	2100	1994
513	2104	1989
514	2108	1985
515	2111	1980
516	2114	1975
517	2118	1970
518	2121	1966
519	2126	1962
520	2129	1958
521	2133	1953
522	2137	1949
523	2140	1944
524	2144	1940
525	2148	1936
526	2152	1931
527	2155	1926
528	2158	1922
529	2162	1917
530	2165	1912
531	2169	1908
532	2173	1904
533	2176	1899
534	2180	1895
535	2183	1890
536	2188	1886
537	2192	1882
538	2195	1877
539	2199	1873
540	2203	1869
541	2207	1864
542	2210	1860
543	2217	1858
544	2221	1854
545	2225	1850
546	2228	1845
547	2231	1840
548	2236	1836
549	2242	1835
550	2247	1831
551	2250	1826
552	2257	1824
553	2267	1825
554	2273	1822
555	2277	1818
556	2281	1814
557	2292	1816
558	2296	1811
559	2300	1807
560	2304	1803
561	2313	1803
562	2317	1798
563	2320	1793
564	2324	1789
565	2328	1785
566	2333	1782
567	2337	1777
568	2344	1776
569	2351	1774
570	2357	1771
571	2362	1767
572	2367	1764
573	2371	1760
574	2379	1758
575	2384	1755
576	2388	1750
577	2394	1747
578	2398	1744
579	2405	1742
580	2409	1737
581	2414	1734
582	2418	1729
583	2424	1727
584	2428	1722
585	2431	1718
586	2435	1713
587	2439	1709
588	2443	1705
589	2448	1701
590	2452	1696
591	2455	1692
592	2459	1687
593	2462	1683
594	2466	1678
595	2470	1674
596	2474	1670
597	2477	1665
598	2481	1661
599	2485	1657
600	2491	1653
601	2495	1649
602	2498	1645
603	2502	1640
604	2505	1635
605	2510	1632
606	2514	1628
607	2518	1623
608	2522	1619
609	2526	1615
610	2530	1610
611	2534	1606
612	2538	1602
613	2542	1598
614	2546	1593
615	2549	1589
616	2553	1584
617	2556	1580
618	2560	1575
619	2564	1571
620	2567	1567
621	2572	1563
622	2575	1558
623	2580	1554
624	2584	1550
625	2588	1546
626	2591	1541
627	2594	1537
628	2598	1532
629	2603	1529
630	2607	1524
631	2611	1520
632	2615	1516
633	2619	1512
634	2625	1509
635	2628	1504
636	2632	1499
637	2635	1495
638	2639	1491
639	2643	1486
640	2647	1482
641	2650	1478
642	2654	1473
643	2657	1468
644	2661	1464
645	2665	1460
646	2669	1456
647	2673	1452
648	2676	1447
649	2680	1443
650	2684	1438
651	2687	1434
652	2691	1430
653	2695	1425
654	2699	1421
655	2703	1417
656	2708	1414
657	2712	1409
658	2716	1405
659	2721	1402
660	2725	1397
661	2739	1398
662	2743	1394
663	2747	1390
664	2750	1385
665	2754	1381
666	2757	1376
667	2761	1372
668	2765	1368
669	2768	1363
670	2772	1359
671	2775	1354
672	2779	1350
673	2783	1346
674	2787	1342
675	2791	1337
676	2795	1333
677	2798	1329
678	2802	1324
679	2805	1320
680	2809	1316
681	2813	1311
682	2816	1307
683	2820	1302
684	2823	1298
685	2827	1294
686	2831	1290
687	2834	1285
688	2838	1281
689	2841	1276
690	2845	1272
691	2848	1268
692	2853	1263
693	2856	1259
694	2860	1255
695	2863	1250
696	2866	1246
697	2870	1241
698	2874	1237
699	2878	1233
700	2881	1229
701	2885	1224
702	2888	1220
703	2891	1215
704	2895	1211
705	2899	1207
706	2902	1203
707	2906	1198
708	2909	1194
709	2913	1190
710	2916	1185
711	2920	1181
712	2924	1177
713	2927	1172
714	2931	1168
715	2934	1164
716	2938	1159
717	2942	1155
718	2946	1151
719	2950	1147
720	2953	1142
721	2957	1138
722	2960	1134
723	2965	1130
724	2969	1126
725	2973	1122
726	2976	1117
727	2980	1113
728	2984	1109
729	2988	1105
730	2992	1101
731	2996	1096
732	2999	1092
733	3003	1088
734	3007	1084
735	3011	1080
736	3015	1076
737	3019	1071
738	3022	1067
739	3026	1063
740	3030	1059
741	3034	1055
742	3038	1050
743	3041	1046
744	3045	1042
745	3049	1038
746	3052	1033
747	3057	1030
748	3061	1025
749	3065	1021
750	3068	1017
751	3072	1013
752	3076	1009
753	3080	1004
754	3084	1000
755	3087	996
756	3091	992
757	3095	988
758	3098	983
759	3102	979
760	3106	975
761	3109	971
762	3113	967
763	3117	963
764	3121	958
765	3125	954
766	3129	950
767	3132	946
768	3135	942
769	3139	937
770	3142	933
771	3147	929
772	3151	925
773	3154	921
774	3158	916
775	3162	912
776	3165	908
777	3169	904
778	3173	900
779	3177	896
780	3180	891
781	3184	887
782	3187	883
783	3191	879
784	3195	875
785	3199	871
786	3202	866
787	3206	862
788	3210	858
789	3215	854
790	3219	850
791	3222	846
792	3226	842
793	3229	837
794	3233	833
795	3237	829
796	3240	825
797	3244	821
798	3248	817
799	3251	812
800	3255	808
801	3259	804
802	3263	800
803	3267	796
804	3270	792
805	3274	788
806	3278	783
807	3282	779
808	3285	775
809	3289	771
810	3293	767
811	3296	763
812	3299	758
813	3303	754
814	3308	750
815	3312	746
816	3316	742
817	3320	738
818	3323	734
819	3327	730
820	3332	726
821	3336	722
822	3339	718
823	3343	714
824	3347	710
825	3351	706
826	3355	701
827	3359	697
828	3363	693
829	3367	689
830	3371	685
831	3376	681
832	3380	677
833	3383	673
834	3387	669
835	3390	665
836	3393	660
837	3398	656
838	3401	652
839	3404	648
840	3408	644
841	3411	640
842	3415	636
843	3419	631
844	3423	627
845	3426	623
846	3430	619
847	3434	615
848	3437	611
849	3443	607
850	3447	603
851	3452	599
852	3456	595
853	3459	591
854	3462	587
855	3468	583
856	3472	579
857	3475	575
858	3479	571
859	3483	567
860	3487	563
861	3491	558
862	3494	554
863	3498	550
864	3502	546
865	3505	542
866	3509	538
867	3514	534
868	3518	530
869	3521	526
870	3525	522
871	3529	518
872	3533	513
873	3536	509
874	3540	505
875	3543	501
876	3547	497
877	3550	493
878	3555	489
879	3559	485
880	3562	481
881	3566	477
882	3569	472
883	3573	468
884	3577	464
885	3581	460
886	3584	456
887	3588	452
888	3592	448
889	3595	444
890	3599	440
891	3603	436
892	3607	432
893	3610	428
894	3614	424
895	3618	419
896	3621	415
897	3625	411
898	3629	407
899	3632	403
900	3635	399
901	3639	395
902	3642	391
903	3646	387
904	3650	383
905	3654	379
906	3658	375
907	3661	371
908	3665	366
909	3669	362
910	3672	358
911	3676	354
912	3680	350
913	3684	346
914	3688	342
915	3692	338
916	3695	334
917	3699	330
918	3703	326
919	3706	322
920	3710	318
921	3714	314
922	3717	310
923	3721	306
924	3725	302
925	3729	298
926	3733	293
927	3736	289
928	3741	285
929	3744	281
930	3748	277
931	3751	273
932	3755	269
933	3758	265
934	3763	261
935	3767	257
936	3770	253
937	3774	249
938	3777	245
939	3781	241
940	3785	237
941	3789	233
942	3792	229
943	3796	225
944	3800	221
945	3804	217
946	3807	213
947	3811	209
948	3815	205
949	3818	200
950	3822	196
951	3826	192
952	3830	188
953	3833	184
954	3837	180
955	3841	176
956	3845	172
957	3848	168
958	3852	164
959	3856	160
960	3859	156
961	3862	152
962	3866	148
963	3870	144
964	3874	140
965	3878	136
966	3882	132
967	3885	128
968	3889	124
969	3893	120
970	3896	116
971	3900	112
972	3903	108
973	3907	104
974	3911	100
975	3914	96
976	3918	92
977	3922	88
978	3925	84
979	3929	80
980	3933	76
981	3936	72
982	3940	68
983	3945	64
984	3948	60
985	3952	56
986	3955	52
987	3959	48
988	3963	44
989	3967	40
990	3971	36
991	3974	32
992	3978	28
993	3981	24
994	3985	20
995	3989	16
996	3993	12
997	3997	8
998	4000	4
999	4004	0
